,Year-Rank,Movie,Year,Imdb,Metascore,Votes,Genre,Runtime,Cert,Gross,Director,Stars,n_imdb
292,33,La Bamba,1987,6.8,65,24148.0,"
Biography, Drama, Music            ",108 min,-,54215416.0,Luis Valdez,"['Lou Diamond Phillips', 'Esai Morales', 'Rosanna DeSoto', 'Elizabeth Peña']",68.0
293,34,Innerspace,1987,6.8,66,47952.0,"
Action, Adventure, Comedy            ",120 min,-,25893810.0,Joe Dante,"['Dennis Quaid', 'Martin Short', 'Meg Ryan', 'Kevin McCarthy']",68.0
294,35,The Running Man,1987,6.7,45,126260.0,"
Action, Sci-Fi, Thriller            ",101 min,-,38122105.0,Paul Michael Glaser,"['Arnold Schwarzenegger', 'Maria Conchita Alonso', 'Yaphet Kotto', 'Jim Brown']",67.0
295,36,Can't Buy Me Love,1987,6.7,36,28228.0,"
Comedy, Drama, Romance            ",94 min,-,31623833.0,Steve Rash,"['Patrick Dempsey', 'Amanda Peterson', 'Courtney Gains', 'Tina Caspary']",67.0
296,37,Prince of Darkness,1987,6.7,50,30264.0,"
Horror            ",102 min,-,14182492.0,John Carpenter,"['Donald Pleasence', 'Lisa Blount', 'Jameson Parker', 'Victor Wong']",67.0
297,38,The Living Daylights,1987,6.7,60,78038.0,"
Action, Adventure, Thriller            ",130 min,-,51185897.0,John Glen,"['Timothy Dalton', ""Maryam d'Abo"", 'Jeroen Krabbé', 'Joe Don Baker']",67.0
298,1,Die Hard,1988,8.2,70,691093.0,"
Action, Thriller            ",132 min,A,83008852.0,John McTiernan,"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia', 'Reginald VelJohnson']",82.0
299,2,Rain Man,1988,8.0,65,428670.0,"
Drama            ",133 min,-,172825435.0,Barry Levinson,"['Dustin Hoffman', 'Tom Cruise', 'Valeria Golino', 'Gerald R. Molen']",80.0
300,3,Mississippi Burning,1988,7.8,65,75441.0,"
Crime, Drama, History            ",128 min,-,34603943.0,Alan Parker,"['Gene Hackman', 'Willem Dafoe', 'Frances McDormand', 'Brad Dourif']",78.0
301,4,Who Framed Roger Rabbit,1988,7.7,83,162582.0,"
Animation, Adventure, Comedy            ",104 min,-,156452370.0,Robert Zemeckis,"['Bob Hoskins', 'Christopher Lloyd', 'Joanna Cassidy', 'Charles Fleischer']",77.0
302,5,Running on Empty,1988,7.7,67,12083.0,"
Crime, Drama, Music            ",116 min,-,2835116.0,Sidney Lumet,"['River Phoenix', 'Christine Lahti', 'Judd Hirsch', 'Jonas Abry']",77.0
303,6,A Fish Called Wanda,1988,7.6,80,119004.0,"
Comedy, Crime            ",108 min,-,63493712.0,Charles Crichton,"['John Cleese', 'Jamie Lee Curtis', 'Kevin Kline', 'Michael Palin']",76.0
304,7,Dangerous Liaisons,1988,7.6,74,58317.0,"
Drama, Romance            ",119 min,-,34700000.0,Stephen Frears,"['Glenn Close', 'John Malkovich', 'Michelle Pfeiffer', 'Swoosie Kurtz']",76.0
305,8,The Naked Gun: From the Files of Police Squad!,1988,7.6,76,131549.0,"
Comedy, Crime            ",85 min,-,78041829.0,David Zucker,"['Leslie Nielsen', 'Priscilla Presley', 'O.J. Simpson', 'Ricardo Montalban']",76.0
306,9,Midnight Run,1988,7.6,78,62118.0,"
Action, Comedy, Crime            ",126 min,-,38413606.0,Martin Brest,"['Robert De Niro', 'Charles Grodin', 'Yaphet Kotto', 'John Ashton']",76.0
307,10,The Last Temptation of Christ,1988,7.6,80,44922.0,"
Drama            ",164 min,-,7630564.0,Martin Scorsese,"['Willem Dafoe', 'Harvey Keitel', 'Barbara Hershey', 'Paul Greco']",76.0
308,11,Le grand bleu,1988,7.6,35,43205.0,"
Adventure, Drama, Sport            ",168 min,R,3500000.0,Luc Besson,"['Jean-Marc Barr', 'Jean Reno', 'Rosanna Arquette', 'Paul Shenar']",76.0
309,12,Beetlejuice,1988,7.5,69,220758.0,"
Comedy, Fantasy            ",92 min,PG,73707461.0,Tim Burton,"['Alec Baldwin', 'Geena Davis', 'Michael Keaton', 'Annie McEnroe']",75.0
310,13,The Land Before Time,1988,7.4,66,70521.0,"
Animation, Adventure, Drama            ",69 min,-,48092846.0,Don Bluth,"['Pat Hingle', 'Gabriel Damon', 'Judith Barsi', 'Helen Shaver']",74.0
311,14,The Unbearable Lightness of Being,1988,7.4,73,30416.0,"
Drama, Romance            ",171 min,-,10006806.0,Philip Kaufman,"['Daniel Day-Lewis', 'Juliette Binoche', 'Lena Olin', 'Derek de Lint']",74.0
312,15,Heathers,1988,7.3,72,73984.0,"
Comedy            ",103 min,-,1108462.0,Michael Lehmann,"['Winona Ryder', 'Christian Slater', 'Shannen Doherty', 'Lisanne Falk']",73.0
313,16,Willow,1988,7.3,47,90083.0,"
Action, Adventure, Drama            ",126 min,-,57269863.0,Ron Howard,"['Val Kilmer', 'Joanne Whalley', 'Warwick Davis', 'Jean Marsh']",73.0
314,17,They Live,1988,7.3,52,90616.0,"
Action, Horror, Sci-Fi            ",94 min,-,13008928.0,John Carpenter,"['Roddy Piper', 'Keith David', 'Meg Foster', ""George 'Buck' Flower""]",73.0
315,18,Big,1988,7.3,73,172184.0,"
Comedy, Drama, Family            ",104 min,-,114968774.0,Penny Marshall,"['Tom Hanks', 'Elizabeth Perkins', 'Robert Loggia', 'John Heard']",73.0
316,19,Dead Ringers,1988,7.3,86,34447.0,"
Drama, Horror, Thriller            ",116 min,-,9134733.0,David Cronenberg,"['Jeremy Irons', 'Geneviève Bujold', 'Heidi von Palleske', 'Barbara Gordon']",73.0
317,20,Dirty Rotten Scoundrels,1988,7.3,68,56983.0,"
Comedy, Crime            ",110 min,-,42039085.0,Frank Oz,"['Steve Martin', 'Michael Caine', 'Glenne Headly', 'Anton Rodgers']",73.0
318,21,Eight Men Out,1988,7.3,71,16684.0,"
Drama, History, Sport            ",119 min,-,5680515.0,John Sayles,"['John Cusack', 'Clifton James', 'Michael Lerner', 'Christopher Lloyd']",73.0
319,22,The Adventures of Baron Munchausen,1988,7.2,69,45948.0,"
Adventure, Comedy, Fantasy            ",126 min,-,8083123.0,Terry Gilliam,"['John Neville', 'Eric Idle', 'Sarah Polley', 'Oliver Reed']",72.0
320,23,Bird,1988,7.2,78,10111.0,"
Biography, Drama, Music            ",161 min,-,2181286.0,Clint Eastwood,"['Forest Whitaker', 'Diane Venora', 'Michael Zelniker', 'Samuel E. Wright']",72.0
321,24,The Accused,1988,7.1,65,27768.0,"
Drama            ",111 min,-,32069318.0,Jonathan Kaplan,"['Kelly McGillis', 'Jodie Foster', 'Bernie Coulson', 'Leo Rossi']",71.0
322,25,Bull Durham,1988,7.1,73,41610.0,"
Comedy, Romance, Sport            ",108 min,-,50888729.0,Ron Shelton,"['Kevin Costner', 'Susan Sarandon', 'Tim Robbins', 'Trey Wilson']",71.0
323,26,Coming to America,1988,7.0,47,139562.0,"
Comedy, Romance            ",116 min,-,128152300.0,John Landis,"['Eddie Murphy', 'Paul Bates', 'Garcelle Beauvais', 'Feather']",70.0
324,27,Hairspray,1988,7.0,77,17894.0,"
Comedy, Drama, Family            ",92 min,-,6671108.0,John Waters,"['Sonny Bono', 'Ruth Brown', 'Divine', 'Debbie Harry']",70.0
325,28,Scrooged,1988,7.0,38,73098.0,"
Comedy, Drama, Fantasy            ",101 min,-,60328558.0,Richard Donner,"['Bill Murray', 'Karen Allen', 'John Forsythe', 'John Glover']",70.0
326,29,Young Guns,1988,6.9,50,48415.0,"
Action, Western            ",107 min,-,45661556.0,Christopher Cain,"['Emilio Estevez', 'Kiefer Sutherland', 'Lou Diamond Phillips', 'Charlie Sheen']",69.0
327,30,Frantic,1988,6.9,66,43827.0,"
Crime, Drama, Mystery            ",120 min,-,17637950.0,Roman Polanski,"['Harrison Ford', 'Betty Buckley', 'Emmanuelle Seigner', 'Djiby Soumare']",69.0
328,31,Tucker: The Man and His Dream,1988,6.9,74,13040.0,"
Biography, Drama            ",110 min,-,19652638.0,Francis Ford Coppola,"['Jeff Bridges', 'Joan Allen', 'Martin Landau', 'Frederic Forrest']",69.0
329,32,Bloodsport,1988,6.8,29,67054.0,"
Action, Biography, Drama            ",92 min,-,11806119.0,Newt Arnold,"['Jean-Claude Van Damme', 'Donald Gibb', 'Leah Ayres', 'Norman Burton']",68.0
330,33,Working Girl,1988,6.8,73,46324.0,"
Comedy, Drama, Romance            ",113 min,-,64000000.0,Mike Nichols,"['Melanie Griffith', 'Harrison Ford', 'Sigourney Weaver', 'Alec Baldwin']",68.0
331,34,The Accidental Tourist,1988,6.8,53,13551.0,"
Drama, Romance            ",121 min,-,32632093.0,Lawrence Kasdan,"['William Hurt', 'Kathleen Turner', 'Geena Davis', 'Amy Wright']",68.0
332,35,Colors,1988,6.7,66,21563.0,"
Action, Crime, Drama            ",120 min,-,46616067.0,Dennis Hopper,"['Sean Penn', 'Robert Duvall', 'Maria Conchita Alonso', 'Randy Brooks']",67.0
333,36,Child's Play,1988,6.6,58,72617.0,"
Horror, Thriller            ",87 min,-,33244684.0,Tom Holland,"['Catherine Hicks', 'Chris Sarandon', 'Alex Vincent', 'Brad Dourif']",66.0
334,37,The Great Outdoors,1988,6.6,24,33767.0,"
Comedy            ",91 min,-,41455230.0,Howard Deutch,"['Dan Aykroyd', 'John Candy', 'Stephanie Faracy', 'Annette Bening']",66.0
335,38,I'm Gonna Git You Sucka,1988,6.6,48,11031.0,"
Action, Comedy, Crime            ",88 min,-,13030057.0,Keenen Ivory Wayans,"['Keenen Ivory Wayans', 'Bernie Casey', 'Antonio Fargas', 'Steve James']",66.0
336,1,Indiana Jones and the Last Crusade,1989,8.3,65,607173.0,"
Action, Adventure, Fantasy            ",127 min,U,197171806.0,Steven Spielberg,"['Harrison Ford', 'Sean Connery', 'Alison Doody', 'Denholm Elliott']",83.0
337,2,Dead Poets Society,1989,8.1,79,346075.0,"
Comedy, Drama            ",128 min,-,95860116.0,Peter Weir,"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke', 'Josh Charles']",81.0
338,3,Crimes and Misdemeanors,1989,8.0,77,48702.0,"
Comedy, Drama            ",104 min,-,18254702.0,Woody Allen,"['Martin Landau', 'Woody Allen', 'Bill Bernstein', 'Claire Bloom']",80.0
339,4,Do the Right Thing,1989,7.9,91,70796.0,"
Comedy, Drama            ",120 min,-,27545445.0,Spike Lee,"['Danny Aiello', 'Ossie Davis', 'Ruby Dee', 'Richard Edson']",79.0
340,5,Majo no takkyûbin,1989,7.9,83,93966.0,"
Animation, Adventure, Drama            ",103 min,-,93966.0,Hayao Miyazaki,"['Kirsten Dunst', 'Minami Takayama', 'Rei Sakuma', 'Kappei Yamaguchi']",79.0
341,6,My Left Foot: The Story of Christy Brown,1989,7.9,97,58816.0,"
Biography, Drama            ",103 min,-,14743391.0,Jim Sheridan,"['Daniel Day-Lewis', 'Brenda Fricker', 'Alison Whelan', 'Kirsten Sheridan']",79.0
342,7,Back to the Future Part II,1989,7.8,57,404395.0,"
Adventure, Comedy, Sci-Fi            ",108 min,U,118500000.0,Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Thomas F. Wilson']",78.0
343,8,Der siebente Kontinent,1989,7.8,89,10475.0,"
Drama            ",104 min,-,10475.0,Michael Haneke,"['Birgit Doll', 'Dieter Berner', 'Leni Tanzer', 'Udo Samel']",78.0
344,9,Henry V,1989,7.7,83,25836.0,"
Action, Biography, Drama            ",137 min,PG-13,10161099.0,Kenneth Branagh,"['Kenneth Branagh', 'Derek Jacobi', 'Simon Shepherd', 'James Larkin']",77.0
345,10,Batman,1989,7.6,69,302947.0,"
Action, Adventure            ",126 min,-,251188924.0,Tim Burton,"['Michael Keaton', 'Jack Nicholson', 'Kim Basinger', 'Robert Wuhl']",76.0
346,11,The Abyss,1989,7.6,62,147241.0,"
Adventure, Drama, Sci-Fi            ",145 min,PG-13,54461047.0,James Cameron,"['Ed Harris', 'Mary Elizabeth Mastrantonio', 'Michael Biehn', 'Leo Burmester']",76.0
347,12,The Little Mermaid,1989,7.6,88,202370.0,"
Animation, Family, Fantasy            ",83 min,-,111543479.0,Ron Clements,"['Jodi Benson', 'Samuel E. Wright', 'Rene Auberjonois', 'Christopher Daniel Barnes']",76.0
348,13,National Lampoon's Christmas Vacation,1989,7.6,49,124849.0,"
Comedy            ",97 min,-,71320000.0,Jeremiah S. Chechik,"['Chevy Chase', ""Beverly D'Angelo"", 'Juliette Lewis', 'Johnny Galecki']",76.0
349,14,When Harry Met Sally...,1989,7.6,76,170990.0,"
Comedy, Drama, Romance            ",96 min,-,92823600.0,Rob Reiner,"['Billy Crystal', 'Meg Ryan', 'Carrie Fisher', 'Bruno Kirby']",76.0
350,15,"The Cook, the Thief, His Wife & Her Lover",1989,7.6,62,30611.0,"
Crime, Drama            ",124 min,A,7724701.0,Peter Greenaway,"['Richard Bohringer', 'Michael Gambon', 'Helen Mirren', 'Alan Howard']",76.0
351,16,Mystery Train,1989,7.6,80,21857.0,"
Comedy, Crime, Drama            ",110 min,-,367879.0,Jim Jarmusch,"['Masatoshi Nagase', 'Yûki Kudô', ""Screamin' Jay Hawkins"", 'Cinqué Lee']",76.0
352,17,Field of Dreams,1989,7.5,57,96739.0,"
Drama, Family, Fantasy            ",107 min,-,64431625.0,Phil Alden Robinson,"['Kevin Costner', 'James Earl Jones', 'Ray Liotta', 'Amy Madigan']",75.0
353,18,Say Anything...,1989,7.4,85,74340.0,"
Comedy, Drama, Romance            ",100 min,-,20781385.0,Cameron Crowe,"['John Cusack', 'Ione Skye', 'John Mahoney', 'Lili Taylor']",74.0
354,19,Driving Miss Daisy,1989,7.4,81,85366.0,"
Drama            ",99 min,-,106593296.0,Bruce Beresford,"['Morgan Freeman', 'Jessica Tandy', 'Dan Aykroyd', 'Patti LuPone']",74.0
355,20,Drugstore Cowboy,1989,7.4,82,28596.0,"
Crime, Drama            ",101 min,-,4729352.0,Gus Van Sant,"['Matt Dillon', 'Kelly Lynch', 'James Le Gros', 'Heather Graham']",74.0
356,21,Steel Magnolias,1989,7.2,56,40104.0,"
Comedy, Drama, Romance            ",117 min,-,83759091.0,Herbert Ross,"['Shirley MacLaine', 'Olympia Dukakis', 'Sally Field', 'Julia Roberts']",72.0
357,22,Major League,1989,7.2,62,54621.0,"
Comedy, Sport            ",107 min,-,49797148.0,David S. Ward,"['Tom Berenger', 'Charlie Sheen', 'Corbin Bernsen', 'Margaret Whitton']",72.0
358,23,Lethal Weapon 2,1989,7.2,70,144450.0,"
Action, Crime, Thriller            ",114 min,R,147253986.0,Richard Donner,"['Mel Gibson', 'Danny Glover', 'Joe Pesci', 'Patsy Kensit']",72.0
359,24,"Sex, Lies, and Videotape",1989,7.2,86,43217.0,"
Drama            ",100 min,-,24741700.0,Steven Soderbergh,"['James Spader', 'Andie MacDowell', 'Peter Gallagher', 'Laura San Giacomo']",72.0
360,25,Born on the Fourth of July,1989,7.2,75,87310.0,"
Biography, Drama, War            ",145 min,-,70001698.0,Oliver Stone,"['Tom Cruise', 'Raymond J. Barry', 'Caroline Kava', 'Josh Evans']",72.0
361,26,Parenthood,1989,7.0,82,39620.0,"
Comedy, Drama            ",124 min,-,100047830.0,Ron Howard,"['Steve Martin', 'Mary Steenburgen', 'Dianne Wiest', 'Jason Robards']",70.0
362,27,Uncle Buck,1989,7.0,51,72804.0,"
Comedy            ",100 min,-,66758538.0,John Hughes,"['John Candy', 'Macaulay Culkin', 'Jean Louisa Kelly', 'Gaby Hoffmann']",70.0
363,28,UHF,1989,7.0,32,23222.0,"
Comedy, Drama            ",97 min,-,6157157.0,Jay Levey,"[""'Weird Al' Yankovic"", 'Victoria Jackson', 'Kevin McCarthy', 'Michael Richards']",70.0
364,29,Valmont,1989,7.0,55,11367.0,"
Drama, Romance            ",137 min,-,1132112.0,Milos Forman,"['Colin Firth', 'Annette Bening', 'Meg Tilly', 'Fairuza Balk']",70.0
365,30,The 'Burbs,1989,6.9,44,59573.0,"
Comedy, Mystery, Thriller            ",101 min,-,36602000.0,Joe Dante,"['Tom Hanks', 'Bruce Dern', 'Carrie Fisher', 'Corey Feldman']",69.0
366,31,Bill & Ted's Excellent Adventure,1989,6.9,44,96153.0,"
Adventure, Comedy, Music            ",90 min,-,40485039.0,Stephen Herek,"['Keanu Reeves', 'Alex Winter', 'George Carlin', 'Terry Camilleri']",69.0
367,32,Dead Calm,1989,6.8,70,33000.0,"
Horror, Thriller            ",96 min,-,7825009.0,Phillip Noyce,"['Nicole Kidman', 'Sam Neill', 'Billy Zane', 'Rod Mullinar']",68.0
368,33,"See No Evil, Hear No Evil",1989,6.8,44,42498.0,"
Comedy, Crime            ",103 min,-,46908987.0,Arthur Hiller,"['Richard Pryor', 'Gene Wilder', 'Joan Severance', 'Kevin Spacey']",68.0
369,34,The War of the Roses,1989,6.8,79,42950.0,"
Comedy            ",116 min,-,86888546.0,Danny DeVito,"['Michael Douglas', 'Kathleen Turner', 'Danny DeVito', 'Marianne Sägebrecht']",68.0
370,35,Sea of Love,1989,6.8,66,33555.0,"
Crime, Drama, Mystery            ",113 min,-,58571513.0,Harold Becker,"['Al Pacino', 'Ellen Barkin', 'John Goodman', 'Michael Rooker']",68.0
371,36,The Fabulous Baker Boys,1989,6.8,85,19610.0,"
Drama, Music, Romance            ",114 min,-,18100000.0,Steve Kloves,"['Jeff Bridges', 'Michelle Pfeiffer', 'Beau Bridges', 'Ellie Raab']",68.0
372,37,All Dogs Go to Heaven,1989,6.7,50,31117.0,"
Animation, Comedy, Drama            ",84 min,-,27100027.0,Don Bluth,"['Dom DeLuise', 'Burt Reynolds', 'Judith Barsi', 'Melba Moore']",67.0
373,38,Pet Sematary,1989,6.6,38,75183.0,"
Horror, Thriller            ",103 min,-,57469179.0,Mary Lambert,"['Dale Midkiff', 'Denise Crosby', 'Fred Gwynne', 'Brad Greenquist']",66.0
374,39,Licence to Kill,1989,6.6,58,83117.0,"
Action, Adventure, Thriller            ",133 min,PG-13,34667015.0,John Glen,"['Timothy Dalton', 'Robert Davi', 'Carey Lowell', 'Talisa Soto']",66.0
375,40,Black Rain,1989,6.6,56,44110.0,"
Action, Crime, Thriller            ",125 min,-,46212055.0,Ridley Scott,"['Michael Douglas', 'Andy Garcia', 'Ken Takakura', 'Kate Capshaw']",66.0
376,41,Road House,1989,6.5,36,51146.0,"
Action, Thriller            ",114 min,-,30050028.0,Rowdy Herrington,"['Patrick Swayze', 'Kelly Lynch', 'Sam Elliott', 'Ben Gazzara']",65.0
377,42,Ghostbusters II,1989,6.5,56,161253.0,"
Action, Comedy, Fantasy            ",108 min,-,112494738.0,Ivan Reitman,"['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver', 'Harold Ramis']",65.0
378,43,The Dream Team,1989,6.5,54,11321.0,"
Comedy, Crime, Thriller            ",113 min,-,28890240.0,Howard Zieff,"['Michael Keaton', 'Christopher Lloyd', 'Peter Boyle', 'Stephen Furst']",65.0
379,1,Goodfellas,1990,8.7,89,862900.0,"
Crime, Drama            ",146 min,A,46836394.0,Martin Scorsese,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']",87.0
380,2,Dances with Wolves,1990,8.0,72,212735.0,"
Adventure, Drama, Western            ",181 min,-,184208848.0,Kevin Costner,"['Kevin Costner', 'Mary McDonnell', 'Graham Greene', 'Rodney A. Grant']",80.0
381,3,Edward Scissorhands,1990,7.9,74,402123.0,"
Drama, Fantasy, Romance            ",105 min,U,56362352.0,Tim Burton,"['Johnny Depp', 'Winona Ryder', 'Dianne Wiest', 'Anthony Michael Hall']",79.0
382,4,Misery,1990,7.8,75,157454.0,"
Crime, Drama, Thriller            ",107 min,-,61276872.0,Rob Reiner,"['James Caan', 'Kathy Bates', 'Richard Farnsworth', 'Frances Sternhagen']",78.0
383,5,Miller's Crossing,1990,7.8,66,114877.0,"
Crime, Drama, Thriller            ",115 min,-,5080409.0,Joel Coen,"['Gabriel Byrne', 'Albert Finney', 'John Turturro', 'Marcia Gay Harden']",78.0
384,6,Awakenings,1990,7.8,74,107583.0,"
Biography, Drama            ",121 min,-,52096475.0,Penny Marshall,"['Robert De Niro', 'Robin Williams', 'Julie Kavner', 'Ruth Nelson']",78.0
385,7,The Hunt for Red October,1990,7.6,58,159629.0,"
Action, Adventure, Thriller            ",135 min,-,122012643.0,John McTiernan,"['Sean Connery', 'Alec Baldwin', 'Scott Glenn', 'Sam Neill']",76.0
386,8,The Godfather: Part III,1990,7.6,60,316310.0,"
Crime, Drama            ",162 min,R,66666062.0,Francis Ford Coppola,"['Al Pacino', 'Diane Keaton', 'Andy Garcia', 'Talia Shire']",76.0
387,9,Ah fei zing zyun,1990,7.6,96,14712.0,"
Crime, Drama, Romance            ",94 min,-,141864.0,Kar-Wai Wong,"['Leslie Cheung', 'Maggie Cheung', 'Andy Lau', 'Carina Lau']",76.0
388,10,Home Alone,1990,7.5,63,379917.0,"
Comedy, Family            ",103 min,-,285761243.0,Chris Columbus,"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', 'John Heard']",75.0
389,11,Total Recall,1990,7.5,57,269902.0,"
Action, Sci-Fi, Thriller            ",113 min,A,119394840.0,Paul Verhoeven,"['Arnold Schwarzenegger', 'Sharon Stone', 'Michael Ironside', 'Rachel Ticotin']",75.0
390,12,Jacob's Ladder,1990,7.5,62,87028.0,"
Drama, Horror, Mystery            ",113 min,-,26118851.0,Adrian Lyne,"['Tim Robbins', 'Elizabeth Peña', 'Danny Aiello', 'Matt Craven']",75.0
391,13,Back to the Future Part III,1990,7.4,55,340575.0,"
Adventure, Comedy, Sci-Fi            ",118 min,U,87727583.0,Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Mary Steenburgen', 'Thomas F. Wilson']",74.0
392,14,Nikita,1990,7.4,56,61115.0,"
Action, Thriller            ",117 min,-,5017971.0,Luc Besson,"['Anne Parillaud', 'Marc Duret', 'Patrick Fontana', 'Alain Lathière']",74.0
393,15,State of Grace,1990,7.3,60,18816.0,"
Action, Crime, Drama            ",134 min,-,1911542.0,Phil Joanou,"['Sean Penn', 'Ed Harris', 'Gary Oldman', 'Robin Wright']",73.0
394,16,Reversal of Fortune,1990,7.3,93,12728.0,"
Biography, Drama, Mystery            ",111 min,-,15445131.0,Barbet Schroeder,"['Jeremy Irons', 'Glenn Close', 'Ron Silver', 'Annabella Sciorra']",73.0
395,17,Wild at Heart,1990,7.2,52,72048.0,"
Comedy, Crime, Drama            ",125 min,-,14560247.0,David Lynch,"['Nicolas Cage', 'Laura Dern', 'Willem Dafoe', 'J.E. Freeman']",72.0
396,18,Tremors,1990,7.2,65,104593.0,"
Comedy, Horror            ",96 min,-,16667084.0,Ron Underwood,"['Kevin Bacon', 'Fred Ward', 'Finn Carter', 'Michael Gross']",72.0
397,19,Pump Up the Volume,1990,7.2,77,23669.0,"
Comedy, Drama, Music            ",102 min,-,11541758.0,Allan Moyle,"['Christian Slater', 'Samantha Mathis', 'Anthony Lucero', 'Andy Romano']",72.0
398,20,Die Hard 2,1990,7.1,67,302688.0,"
Action, Thriller            ",124 min,-,117540947.0,Renny Harlin,"['Bruce Willis', 'William Atherton', 'Bonnie Bedelia', 'Reginald VelJohnson']",71.0
399,21,Slacker,1990,7.1,69,17462.0,"
Comedy, Drama            ",97 min,R,1228108.0,Richard Linklater,"['Richard Linklater', 'Rudy Basquez', 'Jean Caffeine', 'Jan Hockey']",71.0
400,22,Pretty Woman,1990,7.0,51,248276.0,"
Comedy, Romance            ",119 min,R,178406268.0,Garry Marshall,"['Richard Gere', 'Julia Roberts', 'Jason Alexander', 'Laura San Giacomo']",70.0
401,23,Ghost,1990,7.0,52,172740.0,"
Drama, Fantasy, Romance            ",127 min,-,217631306.0,Jerry Zucker,"['Patrick Swayze', 'Demi Moore', 'Whoopi Goldberg', 'Tony Goldwyn']",70.0
402,24,The Grifters,1990,7.0,86,22893.0,"
Crime, Drama, Thriller            ",110 min,-,13446769.0,Stephen Frears,"['Anjelica Huston', 'John Cusack', 'Annette Bening', 'Jan Munroe']",70.0
403,25,Night of the Living Dead,1990,6.9,54,34766.0,"
Horror            ",92 min,-,5835247.0,Tom Savini,"['Tony Todd', 'Patricia Tallman', 'Tom Towles', 'McKee Anderson']",69.0
404,26,Presumed Innocent,1990,6.9,72,33294.0,"
Mystery, Thriller            ",127 min,-,86303188.0,Alan J. Pakula,"['Harrison Ford', 'Raul Julia', 'Greta Scacchi', 'Brian Dennehy']",69.0
405,27,Hamlet,1990,6.8,53,19545.0,"
Drama            ",135 min,-,20710451.0,Franco Zeffirelli,"['Mel Gibson', 'Glenn Close', 'Alan Bates', 'Paul Scofield']",68.0
406,28,Quick Change,1990,6.8,56,17527.0,"
Comedy, Crime            ",89 min,-,15260154.0,Howard Franklin,"['Bill Murray', 'Geena Davis', 'Randy Quaid', 'Dale Grand']",68.0
407,29,Teenage Mutant Ninja Turtles,1990,6.7,51,76279.0,"
Action, Adventure, Comedy            ",93 min,-,135265915.0,Steve Barron,"['Judith Hoag', 'Elias Koteas', 'Josh Pais', 'David Forman']",67.0
408,30,Postcards from the Edge,1990,6.7,71,13622.0,"
Comedy, Drama            ",101 min,-,37963281.0,Mike Nichols,"['Meryl Streep', 'Shirley MacLaine', 'Dennis Quaid', 'Gene Hackman']",67.0
409,31,Flatliners,1990,6.6,55,72642.0,"
Drama, Horror, Sci-Fi            ",115 min,-,61490000.0,Joel Schumacher,"['Kiefer Sutherland', 'Kevin Bacon', 'Julia Roberts', 'William Baldwin']",66.0
410,32,Mermaids,1990,6.6,56,25286.0,"
Comedy, Drama, Romance            ",110 min,-,35419397.0,Richard Benjamin,"['Cher', 'Bob Hoskins', 'Winona Ryder', 'Michael Schoeffling']",66.0
411,33,Alice,1990,6.6,67,11930.0,"
Comedy, Romance            ",106 min,-,7331647.0,Woody Allen,"['Mia Farrow', 'William Hurt', 'Joe Mantegna', 'June Squibb']",66.0
412,34,Young Guns II,1990,6.5,47,27269.0,"
Action, Western            ",104 min,-,44143410.0,Geoff Murphy,"['Emilio Estevez', 'Kiefer Sutherland', 'Lou Diamond Phillips', 'Christian Slater']",65.0
413,35,Internal Affairs,1990,6.5,63,15110.0,"
Crime, Drama, Thriller            ",115 min,-,27734391.0,Mike Figgis,"['Richard Gere', 'Andy Garcia', 'Nancy Travis', 'Laurie Metcalf']",65.0
414,36,Arachnophobia,1990,6.4,67,56437.0,"
Comedy, Fantasy, Horror            ",103 min,-,53208180.0,Frank Marshall,"['Jeff Daniels', 'Julian Sands', 'John Goodman', 'Harley Jane Kozak']",64.0
415,37,Darkman,1990,6.4,65,52793.0,"
Action, Crime, Sci-Fi            ",96 min,-,33878502.0,Sam Raimi,"['Liam Neeson', 'Frances McDormand', 'Colin Friels', 'Larry Drake']",64.0
416,38,House Party,1990,6.4,76,11411.0,"
Comedy, Music, Romance            ",100 min,-,26386000.0,Reginald Hudlin,"['Christopher Reid', 'Robin Harris', 'Christopher Martin', 'Martin Lawrence']",64.0
417,1,The Silence of the Lambs,1991,8.6,85,1073098.0,"
Crime, Drama, Thriller            ",118 min,A,130742922.0,Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']",86.0
418,2,Terminator 2: Judgment Day,1991,8.5,75,868747.0,"
Action, Sci-Fi            ",137 min,U,204843350.0,James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']",85.0
419,3,Beauty and the Beast,1991,8.0,95,374739.0,"
Animation, Family, Fantasy            ",84 min,-,218967620.0,Gary Trousdale,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti', 'Rex Everhart']",80.0
